Player	Character	Notes
Matt	DM	
Laura	Vex'ahlia	
Travis	Grog	
Marisha	Keyleth	
Orion	Tiberius	
Taliesin	Percy	
Liam	Vax'ildan	
Sam	Scanlan	
Ashley	Pike	
NA	Trinket	Vex'ahlia's companion
Felicia	Lyra	
Mary	Zahra	
NA	Grenade	just one roll... maybe a typo?
Wil	Thorbir	
Will	Kashaw	
Kit	Lillith	
Jason	Garthok	
Chris hardwick	Gern	
Chris perkins	Shale	
Patrick	Kerrek	
Sam	Taryon	
NA	Doty	Taryon's companion
NA	Shark	creature?
Noelle	Tova	
Jon	Lionel	
Darin	Sprigg	
Joe	Arkhan	
NA	Gloomstalker	creature
